LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
IND,STINT,TOT,PC_PA,M,2017-01,6.24
IND,STINT,TOT,PC_PA,M,2017-02,6.16
IND,STINT,TOT,PC_PA,M,2017-03,5.926
IND,STINT,TOT,PC_PA,M,2017-04,6.035
IND,STINT,TOT,PC_PA,M,2017-05,6.405
IND,STINT,TOT,PC_PA,M,2017-06,6.278
IND,STINT,TOT,PC_PA,M,2017-07,6.2
IND,STINT,TOT,PC_PA,M,2017-08,6.14
IND,STINT,TOT,PC_PA,M,2017-09,6.102
IND,STINT,TOT,PC_PA,M,2017-10,6.09
IND,STINT,TOT,PC_PA,M,2017-11,6.11
IND,STINT,TOT,PC_PA,M,2017-12,6.166
IND,STINT,TOT,PC_PA,M,2018-01,6.335
IND,STINT,TOT,PC_PA,M,2018-02,6.38
IND,STINT,TOT,PC_PA,M,2018-03,6.232
IND,STINT,TOT,PC_PA,M,2018-04,6.13
IND,STINT,TOT,PC_PA,M,2018-05,6.3025
IND,STINT,TOT,PC_PA,M,2018-06,6.488
IND,STINT,TOT,PC_PA,M,2018-07,6.5525
IND,STINT,TOT,PC_PA,M,2018-08,6.762
IND,STINT,TOT,PC_PA,M,2018-09,7.02
IND,STINT,TOT,PC_PA,M,2018-10,6.99
IND,STINT,TOT,PC_PA,M,2018-11,6.872
IND,STINT,TOT,PC_PA,M,2018-12,6.6675
IND,STINT,TOT,PC_PA,M,2019-01,6.6375
IND,STINT,TOT,PC_PA,M,2019-02,6.48
IND,STINT,TOT,PC_PA,M,2019-03,6.356
IND,STINT,TOT,PC_PA,M,2019-04,6.3025
IND,STINT,TOT,PC_PA,M,2019-05,6.37
IND,STINT,TOT,PC_PA,M,2019-06,6.01
IND,STINT,TOT,PC_PA,M,2019-07,5.83
IND,STINT,TOT,PC_PA,M,2019-08,5.49
IND,STINT,TOT,PC_PA,M,2019-09,5.35
IND,STINT,TOT,PC_PA,M,2019-10,5.18
IND,STINT,TOT,PC_PA,M,2019-11,5.03
