LOCATION,MEASURE,AGGREGATION,COL4,FREQ,DATE,LINT
IND,LTINT,TOT,PC_PA,M,2017-01,6.7925
IND,LTINT,TOT,PC_PA,M,2017-02,6.98
IND,LTINT,TOT,PC_PA,M,2017-03,7.118
IND,LTINT,TOT,PC_PA,M,2017-04,7.165
IND,LTINT,TOT,PC_PA,M,2017-05,7.115
IND,LTINT,TOT,PC_PA,M,2017-06,6.584
IND,LTINT,TOT,PC_PA,M,2017-07,6.55
IND,LTINT,TOT,PC_PA,M,2017-08,6.6
IND,LTINT,TOT,PC_PA,M,2017-09,6.724
IND,LTINT,TOT,PC_PA,M,2017-10,6.945
IND,LTINT,TOT,PC_PA,M,2017-11,7.1675
IND,LTINT,TOT,PC_PA,M,2017-12,7.35
IND,LTINT,TOT,PC_PA,M,2018-01,7.2175
IND,LTINT,TOT,PC_PA,M,2018-02,7.57
IND,LTINT,TOT,PC_PA,M,2018-03,7.608
IND,LTINT,TOT,PC_PA,M,2018-04,7.5475
IND,LTINT,TOT,PC_PA,M,2018-05,7.8475
IND,LTINT,TOT,PC_PA,M,2018-06,7.936
IND,LTINT,TOT,PC_PA,M,2018-07,7.8
IND,LTINT,TOT,PC_PA,M,2018-08,7.826
IND,LTINT,TOT,PC_PA,M,2018-09,8.02
IND,LTINT,TOT,PC_PA,M,2018-10,7.925
IND,LTINT,TOT,PC_PA,M,2018-11,7.782
IND,LTINT,TOT,PC_PA,M,2018-12,7.3725
IND,LTINT,TOT,PC_PA,M,2019-01,7.3475
IND,LTINT,TOT,PC_PA,M,2019-02,7.43
IND,LTINT,TOT,PC_PA,M,2019-03,7.346
IND,LTINT,TOT,PC_PA,M,2019-04,7.4225
IND,LTINT,TOT,PC_PA,M,2019-05,7.33
IND,LTINT,TOT,PC_PA,M,2019-06,6.97
IND,LTINT,TOT,PC_PA,M,2019-07,6.6
IND,LTINT,TOT,PC_PA,M,2019-08,6.62
IND,LTINT,TOT,PC_PA,M,2019-09,6.82
IND,LTINT,TOT,PC_PA,M,2019-10,6.54
IND,LTINT,TOT,PC_PA,M,2019-11,6.64
