LOCATION,TYPE,COL3,INDEX,FREQ,QUARTER,VALUE
IND,HOUSECOST,REAL,IDX2015,Q,2016-Q1,98.9377095293674
IND,HOUSECOST,REAL,IDX2015,Q,2016-Q2,102.533038885486
IND,HOUSECOST,REAL,IDX2015,Q,2016-Q3,103.913172033513
IND,HOUSECOST,REAL,IDX2015,Q,2016-Q4,105.247080646769
IND,HOUSECOST,REAL,IDX2015,Q,2017-Q1,105.978536428947
IND,HOUSECOST,REAL,IDX2015,Q,2017-Q2,108.599118804687
IND,HOUSECOST,REAL,IDX2015,Q,2017-Q3,108.788416385995
IND,HOUSECOST,REAL,IDX2015,Q,2017-Q4,109.148554754688
IND,HOUSECOST,REAL,IDX2015,Q,2018-Q1,109.571008157401
IND,HOUSECOST,REAL,IDX2015,Q,2018-Q2,109.761542736325
IND,HOUSECOST,REAL,IDX2015,Q,2018-Q3,110.506968168046
IND,HOUSECOST,REAL,IDX2015,Q,2018-Q4,110.890999113899
IND,HOUSECOST,REAL,IDX2015,Q,2019-Q1,110.39406375197
IND,HOUSECOST,REAL,IDX2015,Q,2019-Q2,110.56254172988
